MNC_Id	Spruce_contig_dir8_Name
MNC5688476	Contig1457
MNC5688478	Contig1459
MNC5688479	Contig1460
MNC5688480	Contig1461
MNC5688481	Contig1462
MNC5688482	Contig1463
MNC5688484	Contig1465
MNC5688485	Contig1466
MNC5688486	Contig1467
MNC5688487	Contig1468
MNC5688491	Contig1472
MNC5688491	Contig1472
MNC5688493	Contig1474
MNC5688496	Contig1477
MNC5688498	Contig1479
MNC5688500	Contig1481
MNC5688503	Contig1484
MNC5688505	Contig1486
MNC5688506	Contig1487
MNC5688507	Contig1488
MNC5688507	Contig1488
MNC5688508	Contig1489
MNC5688508	Contig1489
MNC5688509	Contig1490
MNC5688510	Contig1491
MNC5688511	Contig1492
MNC5688512	Contig1493
MNC5688514	Contig1495
MNC5688516	Contig1497
MNC5688517	Contig1498
MNC5688518	Contig1499
MNC5688519	Contig1500
MNC5688521	Contig1502
MNC5688523	Contig1504
MNC5688524	Contig1505
MNC5688530	Contig1511
MNC5688531	Contig1512
MNC5688534	Contig1515
MNC5688535	Contig1516
MNC5688536	Contig1517
MNC5688537	Contig1518
MNC5688539	Contig1520
MNC5688539	Contig1520
MNC5688540	Contig1521
MNC5688541	Contig1522
MNC5688542	Contig1523
MNC5688543	Contig1524
MNC5688544	Contig1525
MNC5688546	Contig1527
MNC5688547	Contig1528
MNC5688548	Contig1529
MNC5688549	Contig1530
MNC5688550	Contig1531
MNC5688551	Contig1532
MNC5688552	Contig1533
MNC5688553	Contig1534
MNC5688554	Contig1535
MNC5688554	Contig1535
MNC5688557	Contig1538
MNC5688558	Contig1539
MNC5688559	Contig1540
MNC5688566	Contig1547
MNC5688567	Contig1548
MNC5688569	Contig1550
MNC5688570	Contig1551
MNC5688571	Contig1552
MNC5688572	Contig1553
MNC5688572	Contig1553
MNC5688573	Contig1554
MNC5688574	Contig1555
MNC5688575	Contig1556
MNC5688575	Contig1556
MNC5688576	Contig1557
MNC5688577	Contig1558
MNC5688580	Contig1561
MNC5688580	Contig1561
MNC5688581	Contig1562
MNC5688583	Contig1564
MNC5688584	Contig1565
MNC5688585	Contig1566
MNC5688587	Contig1568
MNC5688588	Contig1569
MNC5688589	Contig1570
MNC5688590	Contig1571
MNC5688590	Contig1571
MNC5688591	Contig1572
MNC5688592	Contig1573
MNC5688593	Contig1574
MNC5688595	Contig1576
MNC5688597	Contig1578
MNC5688597	Contig1578
MNC5688598	Contig1579
MNC5688599	Contig1580
MNC5688600	Contig1581
MNC5688601	Contig1582
MNC5688602	Contig1583
MNC5688603	Contig1584
MNC5688603	Contig1584
MNC5688604	Contig1585
MNC5688605	Contig1586
MNC5688606	Contig1587
MNC5688607	Contig1588
MNC5688608	Contig1589
MNC5688609	Contig1590
MNC5688610	Contig1591
MNC5688611	Contig1592
MNC5688613	Contig1594
MNC5688615	Contig1596
MNC5688616	Contig1597
MNC5688617	Contig1598
MNC5688618	Contig1599
MNC5688618	Contig1599
MNC5688620	Contig1601
MNC5688621	Contig1602
MNC5688622	Contig1603
MNC5688623	Contig1604
MNC5688624	Contig1605
MNC5688626	Contig1607
MNC5688628	Contig1609
MNC5688629	Contig1610
MNC5688630	Contig1611
MNC5688632	Contig1613
MNC5688633	Contig1614
MNC5688634	Contig1615
MNC5688635	Contig1616
MNC5688636	Contig1617
MNC5688637	Contig1618
MNC5688638	Contig1619
MNC5688639	Contig1620
MNC5688641	Contig1622
MNC5688642	Contig1623
MNC5688644	Contig1625
MNC5688649	Contig1630
MNC5688651	Contig1632
MNC5688651	Contig1632
MNC5688653	Contig1634
MNC5688653	Contig1634
MNC5688655	Contig1636
MNC5688656	Contig1637
MNC5688657	Contig1638
MNC5688658	Contig1639
MNC5688659	Contig1640
MNC5688659	Contig1640
MNC5688661	Contig1642
MNC5688662	Contig1643
MNC5688663	Contig1644
MNC5688663	Contig1644
MNC5688664	Contig1645
MNC5688665	Contig1646
MNC5688666	Contig1647
MNC5688666	Contig1647
MNC5688667	Contig1648
MNC5688668	Contig1649
MNC5688669	Contig1650
MNC5688669	Contig1650
MNC5688670	Contig1651
MNC5688671	Contig1652
MNC5688672	Contig1653
