"GA013-001"	"GA013-002"	"GA013-003"	"GA013-005"	"GA013-006"	"GA013-007"	"GA013-008"	"GA013-009"	"GA013-011"	"GA013-012"
"MNC5701649"	-0.126046863938820	-0.154045337374081	-0.0668489910002417	-0.0897298614416347	-0.0253927150409906	-0.333377168322363	-0.224447489192377	0.00755562256838324	0.0232703726388222	-0.448508754271483
"MNC5698718"	-0.248327351908598	-0.27376987246297	-0.362730224251499	0.197620621672702	-0.0645187831801732	-0.25264097616501	-0.266931531408061	-0.321263437597092	-0.244665066720844	-0.427279740835905
"MNC5693354"	-0.202420006051413	0.3438416393009	0.46767355312495	0.224817583195592	0.267802872790726	0.110811152292595	0.500703937811855	-0.0325492794870293	0.406048572162936	0.43939094170253
"MNC5698894"	-0.000494355105153315	-0.0490649332061546	-0.297065538428677	0.00994162376676242	-0.0684756675415092	-0.0429951880659202	-0.00252428514567673	-0.00125323980683783	0.0452918748855426	-0.450833882561214
"MNC5703569"	-0.129220857703462	0.288774717340744	0.546167903093167	-0.0601601812866807	0.353136997148286	-0.171214116806344	0.245771358776032	0.0680532262015271	0.209852510759885	0.154099416203317
"MNC5701468"	0.156443426661888	0.227327648060332	0.104636342087554	-0.0175982899250539	0.121634495972849	0.0298530926827858	-0.0525808927764480	0.116570343806280	-0.1305678764682	-0.0390167312239922
"MNC5688511"	-0.200334045906706	-0.258349327721877	-0.230659071808700	-0.0666557382884271	-0.137243618364465	-0.160518281628027	-0.218693338555750	-0.366312130397663	-0.144483480211065	-0.498745825642995
"MNC5690565"	-0.136893137099771	-0.111180698003123	0.124379120809886	-0.0849307456288994	0.0272549942336469	-0.390367308348877	0.161584799869499	-0.174707137435792	-0.117287535968961	-0.0962856797342973
"MNC5698370"	-0.0122542549238356	0.471778675096055	0.82507556611216	-0.169786925668495	0.403842436051505	-0.0702819308893789	0.416476493341382	0.133509084329875	0.572508232015759	0.362798926005604
"MNC5698565"	0.251102808167134	-0.138059548065081	-0.258643496748680	0.0573574405379555	-0.0311188651725563	0.342759410650225	-0.247704330314715	0.0853301104154146	-0.298416166102697	0.263495646321333
"MNC5687347"	-0.0789714145327896	0.101080113896796	-0.0832222891406244	0.187165188979988	0.204072409733009	0.081772374862867	0.00456364204772268	-0.0738266986403594	0.179563366438163	0.0371521720732674
"MNC5691534"	0.103885184726435	0.135467439833115	0.203366582182684	-0.240239687510276	0.0589039475392359	0.0774917887144438	0.156102077375619	0.221941038945404	-0.101072684653693	0.156127749459352
"MNC5700318"	0.178450139369205	0.171446665074906	0.0700710367451086	-0.0171956192799843	-0.0874916392854329	0.0393447076385896	-0.154820980332913	0.124855476277919	-0.144100519337900	0.0667453455939708
"MNC5701578"	-0.0518631313662739	0.0601349670152863	0.0656995014337186	-0.160385398469671	0.193610382701634	-0.000736898869547298	-0.0769006050293485	-0.0663006481669054	0.325152039335554	0.0471345661223292
"MNC5691240"	0.0383171861115836	0.0431804443215819	0.153214993976336	-0.263096841368125	-0.0369134803992565	-0.0373055171342391	-0.160440198487708	0.22720325563032	-0.303651261273833	-0.0549486850237909
"MNC5699324"	-0.197330890330728	-0.245612123661886	0.0711848583527018	-0.186368071675582	-0.120891023356661	-0.131267563676849	0.0110717058937339	-0.290073677158558	-0.0907573110757974	-0.0626388860449982
"MNC5699755"	-0.105605962462658	-0.130987397648085	-0.564941472767784	0.336151437416555	-0.118548418179734	0.0259242967210243	-0.194132571724270	-0.180536243524063	-0.218723089344159	-0.659033467011351
"MNC5701992"	-0.0931777062985967	-0.172009602936794	-0.109359384885800	-0.0412033497949675	0.138029476290536	0.266064170277545	0.177191076865604	-0.122506198824445	0.124144445164503	0.00969361953314755
"MNC5694225"	-0.324230700083459	0.0153331025328589	0.369745995121782	0.028710455090973	0.319297677580703	0.00740385815518599	0.360427674009639	-0.146544638910874	0.339665289814735	0.20219522054689
"MNC5690997"	-0.0950328280838475	-0.17038327262233	0.179327526899521	-0.145486120657245	0.220417924416679	-0.531290852975559	-0.0196246253842829	-0.0585917881835624	0.255474306917442	-0.124999417377988
"MNC5691454"	0.219605174145654	0.200751507565154	0.197800672803336	-0.401540333769225	-0.139090079068222	0.198352045671796	-0.0409019239257641	0.165688256790426	-0.166471747858109	0.104121248154638
"MNC5694973"	-0.293403689730085	-0.149206416910552	-0.391007506422224	0.21635686527895	-0.227484281774819	-0.460637092958183	-0.17972155635122	-0.408793444014431	-0.252812834658663	-0.544692267998507
"MNC5698357"	0.329445802416723	0.0940803356864297	0.211652290246084	0.215595933397477	-0.244419306317443	0.225183786047171	-0.0299293408174416	0.237732286592115	-0.205151171135122	0.0701116299730671
"MNC5690113"	0.165466819049269	-0.073799781034247	-0.470481363100428	0.175553107634951	-0.346015182306994	0.0995096664189436	0.149656114753170	-0.144414675088006	0.066346197002633	0.130977345835729
"MNC5700568"	-0.244777856113131	-0.307801558890393	-0.071890338455377	-0.167211208611667	-0.237588949948843	0.0350116365475421	-0.0463037042448625	-0.310187954498222	-0.155974116093976	-0.134366966189646
"MNC5690127"	-0.470538833974321	0.138147889737878	0.157030703511279	0.0263064163571837	-0.0970972587469383	-0.035348969351922	0.0430984799100614	-0.165538311139914	0.133144875963193	0.338821746753905
"MNC5694468"	-0.196104646477184	-0.0829065142161841	-0.0484245747459057	-0.17347414867101	-0.261301340219621	-0.0348113588213618	-0.321729514623422	-0.0268183488722373	-0.0430843308787875	0.217368327092132
"MNC5691179"	0.166194393039897	0.216544210362719	0.0412464213240628	0.0280125532417897	0.128676244024237	0.188559435807958	-0.195530224724654	0.249734384945322	-0.0449216111325094	0.230711966171195
"MNC5697372"	-0.110262205604563	0.179879741983429	0.374342784790837	0.302792875673435	0.299510332739569	-0.0316281459283367	0.477181912691993	-0.0724652153871846	0.242886447233879	0.341053203182197
"MNC5690705"	-0.221610652864630	0.281921984852865	0.173702233184607	-0.0363463631850887	0.0152983958068481	0.0353848286860530	-0.143234211178537	0.0298399391581662	0.0223442283966746	0.28219121299747
"MNC5702519"	0.499200271853046	0.0530159031591746	0.144537930287618	-0.127743953126293	-0.228386674735249	0.233348284452313	0.00368457779776676	0.560836025525406	-0.0745472094604986	0.0287745326676286
"MNC5697456"	-0.208500777260216	0.0565097138049836	0.313887780492074	-0.133241768846893	0.26119641157057	-0.302436359555343	0.122395890958722	-0.236079528065689	0.135778507816114	0.221817939747660
"MNC5701485"	0.316782837185559	0.190498455661323	0.124966917602768	-0.511440927603242	-0.107786438720560	0.219801184575237	-0.0961107287967722	0.0877394572184393	0.414373390438563	0.463665147413735
"MNC5692826"	-0.00510037261146972	-0.372190317579702	-0.112301325005685	-0.0265269753451348	-0.0361397558179612	-0.0978581940701348	0.103350627609386	-0.217219646008305	-0.111402743208869	-0.246585622859659
"MNC5691329"	-0.0964591972789743	-0.407328977431422	-0.105990815336632	-0.111507324751677	0.103960993908818	0.0479599174196501	-0.115858236325191	0.0654095386326682	0.184249819240332	-0.427992537144356
"MNC5699800"	0.182493840124343	-0.208045336408589	-0.0456103704497476	-0.116321862154993	0.0270947074885794	-0.182531222333772	0.0284433548412222	0.140726413614848	0.073934632309297	-0.238275345521101
"MNC5698034"	-0.0341644018437702	0.221923664757334	-0.0760043641979463	0.179459099620932	-0.082783888336418	0.201483951990851	-0.0411242071113171	-0.0235641058815164	-0.0213409866433779	-0.0343272113666958
"MNC5694407"	-0.101776582178014	-0.182084127263629	-0.41699592471009	0.312984853549178	-0.145368084232678	0.0358730508999526	-0.100331019991352	-0.173521557331691	-0.0566145649233232	-0.54101270641214
"MNC5697284"	0.219500061367015	0.212351118496833	-0.0451360792798681	0.0251104615256639	-0.248612670819994	0.0035322135882994	-0.184712475084338	0.286323250936768	-0.267370162586574	0.0602614520641578
"MNC5697847"	-0.0894772530249614	-0.0931154313339476	0.169715082142865	-0.371591697828148	-0.079483340283579	-0.110959172290275	-0.0392068871559673	-0.0137564361045020	-0.00968772249830277	0.180440901035475
"MNC5696305"	-0.39189915070363	0.077140744143886	-0.0545376700013423	0.189397377333017	-0.249243030826683	-0.32857523289694	0.0260583253935530	-0.399989183558961	-0.212674608471922	-0.0585740725377941
"MNC5703332"	0.123639011492390	0.106601914302516	0.226957728540978	0.209951604986802	0.291160505642272	0.105826288796710	0.172908150671816	0.240822306326419	0.0901790681874403	0.168430087452452
"MNC5703416"	-0.015556446055593	-0.184495600435823	-0.0763136146425052	0.0860596404883568	0.0412379429502252	-0.320129118216748	-0.103266560079111	-0.115080735671726	0.0785051098472398	-0.292376858913019
"MNC5690656"	0.346701263258266	-0.00637742002202128	-0.0358980382155044	0.0401295136751845	-0.108871838191878	0.3894098112158	0.0727688045041449	0.1111754920062	-0.309596760493721	-0.0684488801971204
"MNC5701657"	0.258896076934662	0.0974272309328297	0.483793417539628	-0.28500772635836	0.519163167188016	0.258329388871363	0.327614905313551	-0.000656257586207054	-0.234065480441302	0.371480230755076
"MNC5691192"	-0.639407561977066	0.523299690619638	0.337500499285583	0.369641709784731	0.102068818230744	0.250961251355608	-0.289500213502446	0.112059265230965	0.458912236189318	0.515600984643317
"MNC5701709"	-0.124272842608755	0.158038157636591	-0.308159107858106	0.383817548875989	-0.273723442406652	-0.355449969730094	-0.362198785219852	0.0796858135660485	-0.00184095875933496	-0.407372716872551
"MNC5696510"	-0.107740231146455	-0.17128592018546	-0.195569426015515	0.00686062600285295	-0.472450546366175	-0.625095033158797	-0.299402199274084	-0.173945623408411	-0.259434430228500	-0.346127569704665
"MNC5692268"	-0.0960397931203257	0.0670777492000647	0.412968504964657	-0.263108040953259	0.288588720134985	-0.0615688311577875	0.382099853362143	-0.104412512451762	0.096992155539694	0.00491201001067772
"MNC5703385"	-0.0199765802884387	-0.158580386093464	0.00417797358264972	0.131767690200685	-0.0249613022689233	-0.135349607116497	0.168513671833226	0.035880750649691	-0.0580349367506831	-0.132430448425084
