"ID"	"ANNOTATION"	"M"	"A"	"t"	"P.Value"	"B"
"MNC5699630"	"Contig12611"	"0.337587973019127"	"-0.068251990333532"	"4.1523688887253"	"0.00071099768407658"	"-0.356132607969981"
"MNC5696669"	"Contig9650"	"-0.265543340538937"	"-0.0963734443520304"	"-4.15210353499378"	"0.00071139850605888"	"-0.356668021512767"
"MNC5690539"	"Contig3520"	"-0.207147036027736"	"-0.0309673094474845"	"-4.14788601188697"	"0.000717799955812815"	"-0.365178262917420"
"MNC5688881"	"Contig1862"	"0.346707438866128"	"-0.0932211519269357"	"4.14350081240501"	"0.000724517755088899"	"-0.374027631874815"
"MNC5696800"	NA	"0.247509466052266"	"-0.0663562956951574"	"4.13414968366114"	"0.00073905630907718"	"-0.392900914588535"
"MNC5691002"	NA	"-0.219444064824638"	"-0.077975024899206"	"-4.13144605882412"	"0.00074331450548309"	"-0.398358267334843"
"MNC5689328"	"Contig2309"	"-0.235883388342429"	"-0.057807354902753"	"-4.12844332345314"	"0.000748072906368192"	"-0.404419723736128"
"MNC5699783"	NA	"-0.301755744064824"	"-0.0662580624463824"	"-4.12406280698748"	"0.000755070001345868"	"-0.413263065117582"
"MNC5691321"	NA	"-0.189821913415786"	"0.0675130938862307"	"-4.12138464186402"	"0.000759380474226129"	"-0.418670084014558"
"MNC5699203"	NA	"-0.292652379031689"	"0.139359894243972"	"-4.1162881484168"	"0.000767652104661627"	"-0.428960289349471"
"MNC5687088"	NA	"0.233030643082539"	"-0.0864317942062335"	"4.11563932977852"	"0.000768711660218162"	"-0.430270373958698"
"MNC5691304"	"Contig4285"	"-0.254713526439153"	"-0.0923870215825926"	"-4.10155140928586"	"0.000792086341222615"	"-0.458720342012268"
"MNC5689752"	"Contig2733"	"0.286517326316314"	"-0.0740698427852242"	"4.10148050681215"	"0.000792205782823741"	"-0.458863544938487"
"MNC5696323"	"Contig9304"	"0.283333534844603"	"-0.0931291108342526"	"4.0955638771382"	"0.000802237325420531"	"-0.470814094322276"
"MNC5689568"	"Contig2549"	"0.376759681945174"	"-0.204335612491872"	"4.09507785620867"	"0.000803067052852545"	"-0.471795826078809"
"MNC5689062"	"Contig2043"	"0.206560165194738"	"-0.0220785421208232"	"4.09461681257201"	"0.000803854941406352"	"-0.472727112943798"
"MNC5697444"	"Contig10425"	"-0.222869801868064"	"-0.0563128666551557"	"-4.09308643146593"	"0.000806475854012322"	"-0.475818465525419"
"MNC5689094"	"Contig2075"	"0.240419439911222"	"-0.0705831902845629"	"4.09116078319514"	"0.000809785976112393"	"-0.479708369359019"
"MNC5697112"	"Contig10093"	"0.287827064591402"	"-0.0523281454527024"	"4.08542128789138"	"0.00081973368125044"	"-0.491303189585721"
"MNC5698555"	"Contig11536"	"0.284060890065424"	"0.179104081621865"	"4.07652376878909"	"0.000835399666299992"	"-0.509279990070333"
"MNC5698326"	"Contig11307"	"-0.181058217276791"	"-0.0375371151912798"	"-4.07424188605271"	"0.000839465942843574"	"-0.513890792640873"
"MNC5702862"	NA	"-0.228459724746030"	"0.0628156013090042"	"-4.07210646754388"	"0.000843289340906642"	"-0.518205800962758"
"MNC5694254"	"Contig7235"	"-0.185277310510721"	"-0.0321603996646655"	"-4.07037196362214"	"0.00084640786435635"	"-0.52171079538074"
"MNC5696581"	NA	"-0.277145649285142"	"-0.0654312525069966"	"-4.06543458823379"	"0.000855348895291814"	"-0.531688509139618"
"MNC5693883"	"Contig6864"	"-0.209392552786478"	"-0.078497060317862"	"-4.06292609822019"	"0.000859927991036079"	"-0.536758094650832"
"MNC5693007"	"Contig5988"	"-0.184183907713646"	"-0.0467630948565835"	"-4.0621697922171"	"0.000861313435633695"	"-0.538286605560085"
"MNC5692426"	"Contig5407"	"-0.247782393317731"	"0.0932311078436082"	"-4.06131116412287"	"0.000862889053664503"	"-0.540021933102251"
"MNC5698718"	NA	"-0.226450636285745"	"-0.100223489125468"	"-4.04896354630905"	"0.000885872196014884"	"-0.56497952068765"
